,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas,Gambar
0,Sosis Bakar,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2021/12/Resep-Sosis-Bakar.jpg?fit=400%2C533&ssl=1
1,Yakitori Ayam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2021/01/Resep-Yakitori.jpg?fit=500%2C667&ssl=1
2,Ayam Bakar Bumbu Rujak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/02/Resep-Ayam-Bakar-Bumbu-Rujak.jpg?fit=500%2C532&ssl=1
3,Ayam Bakar Klaten,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/01/Resep-Ayam-Bakar-Klaten.jpg?fit=500%2C625&ssl=1
4,Ayam Goreng Cabe,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/01/Resep-Ayam-Goreng-Cabe.jpg?fit=500%2C502&ssl=1
5,Sate Ponorogo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/10/Resep-Sate-Ponorogo.jpg?fit=500%2C400&ssl=1
6,Ayam Panggang Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2018/03/Resep-Ayam-Panggang-Madu.jpg?fit=500%2C510&ssl=1
7,Ayam Panggang Lada Hitam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2018/03/Resep-Ayam-Panggang-Lada-Hitam.jpg?fit=500%2C434&ssl=1
8,Ayam Bekakak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/05/Resep-Ayam-Bekakak.jpg?fit=500%2C591&ssl=1
9,Ayam Barbeque,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/12/Resep-Ayam-Barbeque.jpg?fit=500%2C595&ssl=1
10,Sate Maranggi,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/07/Resep-Sate-Maranggi.jpg?fit=500%2C533&ssl=1
11,Sate Klopo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2018/03/Resep-Sate-Klopo.jpg?fit=500%2C423&ssl=1
12,Sate Kambing,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/04/Resep-Sate-kambing.jpg?fit=500%2C333&ssl=1
13,Ayam Bakar Padang,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/11/Resep-Ayam-Bakar-Padang-1.jpg?fit=500%2C400&ssl=1
14,Ayam Bakar Bumbu Bali,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/11/Resep-Ayam-bakar-bumbu-bali.jpg?fit=500%2C542&ssl=1
15,Ayam Bakar Bumbu Kuning,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/11/Resep-Ayam-bakar-bumbu-kuning.jpg?fit=500%2C587&ssl=1
16,Ayam Bakar Kecap,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/12/Resep-Ayam-Bakar-Kecap.jpg?fit=500%2C533&ssl=1
17,Beef Steak Tenderloin Blackpepper Sauce,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,18,https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/11/Resep-Beef-Steak.jpg?fit=500%2C625&ssl=1
